Product Number,Current In-Stock,Product Name,Flight Numbers
102.0,out,Holiday Halo Star Toro,4 | 2 | 1 | 3
103.0,0,Proto Glow DX Aviar,2 | 3 | 0 | 1
104.0,out,Proto Glow Ch Leopard3,7 | 5 | -2 | 1
105.0,0,Proto Glow Ch Shryke,13 | 6 | -2 | 2
106.0,0,Proto Glow Ch Tern,12 | 6 | -3 | 2
107.0,out,Proto Glow Ch Valkyrie,9 | 4 | -2 | 2
108.0,0,Eveliina Swirly Star Destroyer,12 | 5 | -1 | 3
110.0,0,Proto Glow DX Roc,4 | 4 | 0 | 3
111.0,0,Proto Glow Ch Mako3,5 | 5 | 0 | 0
114.0,0,Halo St Aero,3 | 6 | 0 | 0
115.0,0,Halo St Mako3,5 | 5 | 0 | 0
116.0,0,Halo St Roc3 ,5 | 4 | 0 | 3
117.0,0,Halo St Rollo,5 | 6 | -4 | 1
120.0,0,Halo St Aviar,2 | 3 | 0 | 1
121.0,0,Halo St Beast,10 | 5 | -2 | 2
122.0,0,Halo St Boss,13 | 5 | -1 | 3
123.0,0,Halo St Destroyer,12 | 5 | -1 | 3
124.0,0,Halo St Firebird,9 | 3 | 0 | 4
125.0,0,Halo St Invader,3 | 2 | 0 | 1
126.0,0,Halo St Leopard 3,7 | 5 | -2 | 1
127.0,0,Halo St Mamba,11 | 6 | -5 | 1
128.0,0,Halo St Mystere,11 | 6 | -2 | 2
129.0,0,Halo St Roadrunner,9 | 5 | -4 | 1
130.0,0,Halo St Savant,9 | 5 | -1 | 2
131.0,0,Halo St Shryke,13 | 6 | -2 | 2
132.0,0,Halo St Sidewinder,9 | 5 | -3 | 1
133.0,0,Halo St Tern,12 | 6 | -3 | 2
134.0,0,Halo St Thunderbird,9 | 5 | 0 | 2
135.0,0,Halo St TL3,8 | 4 | -1 | 1
136.0,0,Halo St Valkyrie,9 | 4 | -2 | 2
137.0,0,Halo St Wraith,11 | 5 | -1 | 3
202.0,0,DX Condor,4 | 6 | 0 | 2
205.0,0,DX Alien,4 | 2 | 0 | 1
206.0,0,DX Cobra,4 | 5 | -2 | 2
207.0,0,DX Jay,5 | 4 | 0 | 1
208.0,0,DX Lion,5 | 4 | 0 | 2
209.0,0,DX Mako3 ,5 | 5 | 0 | 0
210.0,0,DX Manta,5 | 5 | -2 | 1
211.0,0,DX Roc  ,4 | 4 | 0 | 3
212.0,0,DX Roc3,5 | 4 | 0 | 3
213.0,0,DX RocX3,5 | 4 | 0 | 3.5
214.0,0,DX Rollo,5 | 6 | -4 | 1
